employee_id,age,gender,marital_status,education_level,years_of_experience,job_role,department,job_level,employment_type,work_location,reporting_manager_score,monthly_income,bonus_percentage,stock_option_level,benefits_satisfaction,performance_rating,projects_completed,average_work_hours,absenteeism_days,promotion_last_2yrs,job_satisfaction,work_life_balance,engagement_score,training_hours,internal_mobility,tenure_years,time_since_last_promotion,time_in_current_role,attrition_status
E00021,33,Female,Single,Master,17.8,Manager,Operations,Senior,Contract,Remote,6.6,21769,2.78,None,4,5,14,51.5,4,No,4,5,64.67,57,No,12.3,16,42,Stayed
E00022,43,Male,Single,Diploma,22.0,HR,Sales,Senior,Full-time,Hybrid,2.0,55641,10.73,None,3,5,8,62.5,12,No,3,1,81.3,36,No,6.5,8,52,Left
E00023,46,Male,Single,Bachelor,8.5,Manager,Operations,Senior,Full-time,Remote,1.8,49870,1.82,Medium,2,5,2,38.9,2,Yes,4,1,66.56,86,No,15.9,17,56,Stayed
E00024,48,Female,Single,Bachelor,25.3,Manager,Sales,Executive,Contract,Onsite,5.5,46348,5.39,None,4,4,9,50.6,4,No,2,4,70.64,14,No,10.2,16,18,Left
E00025,49,Male,Single,Diploma,19.4,Manager,IT,Executive,Contract,Remote,1.4,18852,2.1,None,4,5,8,68.6,0,No,4,4,91.41,72,Yes,1.2,16,11,Stayed
E00026,37,Male,Single,High School,15.9,HR,HR,Entry,Contract,Hybrid,8.9,140826,26.32,High,4,3,9,62.0,14,No,5,1,46.6,91,Yes,11.4,18,24,Left
E00027,36,Female,Married,High School,28.4,Consultant,Sales,Mid,Contract,Onsite,9.4,99824,23.39,Low,2,3,0,53.7,1,Yes,4,5,57.53,87,Yes,9.0,39,45,Stayed
E00028,24,Male,Married,Master,8.9,Analyst,Sales,Senior,Full-time,Onsite,1.6,147525,25.79,Medium,4,1,10,60.0,13,No,2,1,80.3,22,Yes,2.3,20,9,Stayed
E00029,58,Female,Married,PhD,31.0,Engineer,Sales,Senior,Full-time,Remote,1.4,141561,26.05,Medium,3,2,4,51.0,17,No,3,4,34.38,46,Yes,9.1,33,54,Stayed
E00030,28,Female,Married,Bachelor,19.9,Engineer,IT,Senior,Full-time,Hybrid,3.0,66586,28.34,High,4,4,4,69.5,2,No,4,4,64.13,50,Yes,16.1,30,54,Left
E00031,42,Male,Single,Bachelor,21.5,Manager,Finance,Entry,Contract,Remote,9.4,46912,5.6,High,1,1,10,36.8,0,Yes,1,3,41.49,30,No,2.6,27,55,Stayed
E00032,30,Male,Married,Master,30.7,Consultant,Sales,Mid,Contract,Remote,7.9,57140,27.0,Low,3,4,8,58.8,14,Yes,2,4,14.57,29,Yes,5.3,21,12,Left
E00033,39,Male,Single,Master,28.7,HR,IT,Mid,Full-time,Remote,7.1,30195,15.75,None,1,4,10,30.2,10,No,1,3,23.92,99,Yes,19.7,55,1,Stayed
E00034,25,Female,Married,Bachelor,21.3,Analyst,HR,Mid,Contract,Hybrid,8.0,139718,4.99,Medium,4,3,7,35.0,15,No,4,5,20.21,94,No,8.6,47,48,Left
E00035,46,Female,Married,Diploma,26.5,Analyst,Sales,Senior,Contract,Remote,2.8,33426,19.67,Medium,4,3,6,58.9,13,No,3,4,59.4,44,Yes,16.7,51,45,Left
E00036,35,Female,Single,Diploma,15.4,Manager,Finance,Executive,Full-time,Remote,3.3,73968,9.81,Low,2,3,0,60.4,6,Yes,3,4,20.79,12,Yes,10.3,35,17,Stayed
E00037,30,Male,Single,PhD,19.4,Manager,IT,Senior,Full-time,Onsite,3.9,30959,1.39,High,1,3,13,31.6,5,Yes,4,1,58.84,6,No,5.0,33,33,Stayed
E00038,47,Male,Married,Bachelor,2.6,HR,HR,Mid,Contract,Onsite,6.4,32730,2.36,High,1,1,14,43.4,14,Yes,2,4,76.05,29,No,2.2,57,51,Stayed
E00039,23,Female,Married,Bachelor,3.6,HR,Finance,Entry,Full-time,Onsite,6.5,15013,12.71,None,5,2,10,34.7,13,No,5,5,66.89,4,Yes,15.1,52,33,Stayed
E00040,41,Male,Married,Bachelor,29.1,Sales,HR,Mid,Contract,Hybrid,2.9,40747,24.79,Low,5,2,14,65.6,19,No,4,2,77.42,75,Yes,10.0,10,20,Stayed
E00041,49,Male,Married,Bachelor,2.6,HR,Finance,Senior,Contract,Remote,4.9,43118,9.33,Medium,5,1,14,48.2,6,No,4,1,54.23,94,No,19.6,6,42,Left
E00042,28,Female,Single,Master,6.3,Manager,Operations,Executive,Contract,Remote,7.2,44055,22.98,None,5,2,13,47.7,17,No,3,5,76.43,41,No,18.1,58,8,Stayed
E00043,29,Female,Married,High School,28.0,Consultant,Operations,Mid,Contract,Onsite,3.8,102427,1.67,None,1,5,6,63.0,8,No,4,3,81.24,21,No,3.5,53,18,Stayed
E00044,56,Male,Married,Bachelor,0.5,Manager,Operations,Executive,Contract,Remote,1.7,17561,11.81,Low,2,5,1,57.8,11,No,4,1,32.57,21,No,13.3,21,9,Stayed
E00045,35,Female,Married,High School,10.2,Manager,HR,Mid,Contract,Hybrid,2.8,49670,3.82,None,5,5,13,66.9,19,Yes,3,4,87.08,64,No,4.1,58,33,Left
E00046,38,Male,Married,Diploma,20.6,Analyst,Operations,Executive,Full-time,Remote,2.5,26350,25.91,Medium,1,3,10,67.5,6,No,3,1,94.27,21,No,7.6,20,13,Stayed
E00047,57,Female,Married,PhD,21.0,HR,IT,Executive,Full-time,Onsite,6.7,56364,29.04,Medium,2,5,8,42.5,16,No,2,3,75.82,7,No,7.0,42,51,Stayed
E00048,25,Female,Single,Diploma,27.3,Engineer,IT,Mid,Contract,Hybrid,1.6,142220,9.77,Medium,2,4,11,55.9,17,Yes,1,2,97.42,16,Yes,10.5,38,45,Left
E00049,23,Female,Single,Bachelor,18.0,HR,Operations,Entry,Contract,Remote,9.0,69872,29.67,High,5,4,13,51.7,17,Yes,4,4,15.83,47,No,16.8,10,7,Stayed
E00050,27,Male,Single,Diploma,18.1,Sales,Finance,Senior,Contract,Remote,1.8,65010,22.57,None,1,1,12,53.8,17,No,5,5,23.52,26,Yes,17.8,6,36,Stayed
E00051,25,Male,Single,Master,25.5,Consultant,Finance,Senior,Full-time,Remote,6.4,29387,0.04,None,3,4,11,55.0,1,Yes,5,2,91.25,62,No,13.8,2,32,Stayed
E00052,50,Female,Single,High School,17.7,Consultant,HR,Mid,Contract,Hybrid,9.4,112994,14.56,Medium,1,1,2,32.4,4,No,4,3,12.78,13,No,12.8,38,33,Stayed
E00053,39,Female,Married,Bachelor,21.5,HR,Finance,Executive,Full-time,Remote,1.6,61965,25.02,High,2,2,8,65.8,3,No,4,2,62.92,97,Yes,18.5,46,15,Stayed
E00054,47,Female,Single,Master,31.5,HR,Sales,Senior,Full-time,Onsite,4.4,131878,16.02,Low,4,4,4,35.6,16,Yes,3,5,34.19,96,Yes,2.5,35,12,Stayed
E00055,55,Male,Single,High School,14.4,Manager,Finance,Executive,Contract,Onsite,4.0,121413,16.5,Medium,5,4,10,47.0,10,Yes,2,5,50.96,4,No,8.1,17,38,Left
E00056,31,Female,Married,Master,13.8,Engineer,IT,Entry,Full-time,Onsite,4.1,82358,13.43,Low,2,1,3,41.7,5,No,2,1,44.77,41,No,4.8,6,26,Stayed
E00057,57,Female,Single,Diploma,0.6,Manager,Finance,Mid,Full-time,Onsite,6.4,81081,11.85,Medium,3,4,4,52.1,2,Yes,3,2,26.94,87,No,3.2,29,38,Left
E00058,35,Female,Single,Bachelor,21.7,Analyst,HR,Entry,Full-time,Hybrid,3.4,144656,0.82,Low,3,1,10,68.5,7,No,5,1,62.72,67,Yes,13.6,50,32,Left
E00059,52,Female,Single,Diploma,1.5,Analyst,Finance,Executive,Contract,Onsite,1.2,145750,18.65,High,3,4,12,46.5,1,Yes,1,4,28.23,20,Yes,4.2,47,32,Stayed
E00060,36,Male,Single,PhD,17.9,Consultant,HR,Executive,Full-time,Onsite,9.7,136164,23.0,Low,3,3,1,54.1,4,Yes,5,3,46.65,24,No,19.2,26,3,Left
E00061,29,Male,Married,Bachelor,28.2,Consultant,Sales,Mid,Contract,Onsite,7.7,74921,23.71,None,1,2,7,35.6,9,No,5,4,79.34,88,Yes,10.8,40,36,Stayed
E00062,35,Female,Married,Diploma,19.5,Engineer,Operations,Executive,Full-time,Hybrid,2.2,72808,18.74,Low,2,4,7,48.5,5,Yes,1,5,70.25,19,No,9.7,1,24,Left
E00063,44,Male,Single,Bachelor,9.8,Consultant,Sales,Mid,Full-time,Hybrid,5.1,146691,10.24,High,3,2,7,66.6,12,No,1,5,68.46,42,No,7.5,17,10,Stayed
E00064,42,Male,Married,High School,27.6,Sales,IT,Mid,Full-time,Remote,1.6,41991,0.68,None,2,4,7,67.3,5,Yes,2,5,55.02,85,No,5.8,20,10,Stayed
E00065,37,Male,Single,Bachelor,9.8,Analyst,Sales,Entry,Full-time,Onsite,1.3,89957,26.87,Medium,2,4,6,51.9,3,Yes,1,5,26.98,31,Yes,18.3,29,21,Stayed
E00066,39,Female,Married,Bachelor,25.8,Engineer,Sales,Senior,Full-time,Remote,1.4,89084,12.87,Low,4,3,12,60.7,0,Yes,3,2,50.08,97,No,12.5,42,13,Stayed
E00067,45,Male,Married,High School,21.6,Analyst,IT,Senior,Contract,Hybrid,7.8,67503,18.04,High,1,5,1,30.1,1,Yes,1,2,52.28,82,Yes,5.1,9,38,Left
E00068,47,Male,Married,Diploma,6.4,HR,IT,Executive,Contract,Remote,5.0,48652,5.84,High,4,5,7,51.3,15,No,5,5,28.26,0,Yes,13.8,24,1,Stayed
E00069,46,Male,Married,Bachelor,31.7,HR,Operations,Senior,Full-time,Hybrid,8.6,44172,4.26,Low,5,2,5,59.3,7,No,3,4,64.14,16,No,5.1,39,33,Left
E00070,50,Female,Married,Master,7.4,Engineer,Operations,Executive,Full-time,Remote,3.7,24950,2.6,High,5,2,4,43.2,19,No,1,3,56.18,85,Yes,15.5,37,10,Stayed
E00071,36,Female,Married,Bachelor,34.6,Manager,Finance,Senior,Full-time,Onsite,8.0,90185,23.96,Medium,5,3,12,66.0,13,No,2,3,39.44,37,Yes,11.3,41,55,Stayed
E00072,22,Male,Married,Diploma,0.8,Sales,HR,Entry,Full-time,Hybrid,1.7,97470,19.39,High,4,1,12,61.2,14,Yes,2,4,28.66,80,No,9.1,18,44,Stayed
E00073,46,Male,Married,High School,9.6,Sales,IT,Senior,Contract,Hybrid,6.7,23391,18.63,Medium,2,2,1,60.8,7,No,5,4,22.81,81,No,13.3,12,4,Left
E00074,28,Female,Married,Diploma,7.4,Consultant,Sales,Executive,Contract,Hybrid,4.2,106502,27.58,Low,5,5,2,30.8,9,No,4,4,89.26,40,No,17.5,52,50,Left
E00075,30,Female,Married,PhD,1.0,Engineer,Sales,Executive,Full-time,Onsite,3.5,134462,4.76,High,5,3,3,37.4,5,No,5,3,94.52,10,No,8.4,51,26,Left
E00076,45,Male,Married,Bachelor,25.8,Sales,Operations,Senior,Contract,Onsite,8.3,121772,5.11,Low,4,1,12,58.5,16,Yes,1,3,83.7,76,Yes,13.9,36,17,Stayed
E00077,22,Male,Single,Bachelor,24.4,Consultant,HR,Mid,Full-time,Hybrid,1.5,31437,5.68,None,2,3,13,52.5,6,No,5,5,63.46,71,Yes,7.6,24,31,Stayed
E00078,29,Female,Married,High School,27.8,Analyst,IT,Entry,Full-time,Hybrid,9.5,80699,12.7,None,5,5,11,53.1,13,No,3,5,96.55,95,Yes,7.5,4,2,Left
E00079,45,Female,Single,Bachelor,9.4,Manager,Operations,Mid,Contract,Onsite,8.1,120102,26.23,Low,1,3,3,30.6,16,No,5,4,52.06,55,No,16.9,3,55,Stayed
E00080,32,Male,Married,Master,15.8,Consultant,HR,Senior,Contract,Onsite,4.2,140003,26.44,Low,5,4,4,47.7,10,Yes,2,2,14.02,64,Yes,11.2,17,49,Stayed
E00081,38,Female,Single,Master,23.2,HR,IT,Mid,Full-time,Onsite,9.9,34173,17.72,Medium,4,5,1,61.5,7,No,3,2,43.62,44,No,8.4,45,22,Left
E00082,29,Male,Single,Diploma,15.7,HR,Sales,Senior,Full-time,Onsite,2.8,31197,19.74,Medium,4,1,8,56.5,7,No,2,1,26.12,11,No,4.4,35,7,Stayed
E00083,56,Male,Single,High School,24.6,Analyst,Sales,Executive,Full-time,Onsite,4.6,117821,26.93,None,1,3,8,52.9,8,No,5,3,72.24,59,Yes,16.0,49,45,Stayed
E00084,56,Male,Married,PhD,22.4,Engineer,Operations,Mid,Contract,Onsite,9.0,89713,18.73,High,2,5,8,57.9,0,Yes,1,2,36.64,11,Yes,12.8,11,57,Stayed
E00085,54,Female,Married,Diploma,4.5,Consultant,HR,Entry,Full-time,Remote,10.0,91916,6.89,None,1,5,4,64.0,12,No,5,1,52.25,59,Yes,14.5,16,9,Left
E00086,26,Male,Married,High School,27.4,Analyst,Sales,Mid,Contract,Onsite,3.2,53127,21.15,High,5,1,3,64.0,8,No,3,3,94.09,98,No,9.0,46,6,Left
E00087,49,Male,Married,High School,25.4,HR,HR,Executive,Full-time,Onsite,7.7,63982,23.1,Medium,4,5,8,48.2,7,No,2,4,99.33,6,Yes,6.5,37,27,Stayed
E00088,28,Female,Single,Diploma,23.1,HR,Operations,Executive,Contract,Hybrid,3.8,46225,19.06,Medium,2,1,7,42.3,3,No,5,4,58.15,82,Yes,14.6,20,37,Left
E00089,30,Female,Married,Diploma,5.9,HR,Finance,Executive,Contract,Hybrid,7.9,144792,8.21,Medium,5,5,6,44.7,4,No,1,5,34.78,87,Yes,2.2,14,23,Stayed
E00090,29,Male,Married,Bachelor,9.7,Manager,HR,Mid,Contract,Remote,2.1,32464,12.0,High,1,3,13,50.9,8,Yes,1,1,49.55,5,Yes,13.4,16,55,Stayed
E00091,33,Male,Married,PhD,14.1,Manager,HR,Executive,Full-time,Onsite,4.0,118452,14.12,Medium,5,1,12,33.6,16,Yes,4,1,88.78,34,Yes,19.5,16,23,Stayed
E00092,55,Female,Married,Master,10.2,HR,Operations,Executive,Full-time,Hybrid,1.7,29769,4.36,High,1,1,4,53.6,8,No,1,1,31.43,0,No,16.4,47,23,Left
E00093,54,Female,Married,Bachelor,8.4,Sales,Finance,Mid,Full-time,Hybrid,5.4,115569,13.57,High,3,5,7,48.1,8,Yes,5,1,15.63,39,No,14.8,13,28,Stayed
E00094,44,Female,Married,High School,28.3,Engineer,Sales,Mid,Contract,Remote,7.3,36025,4.84,High,3,4,4,60.4,5,Yes,1,5,83.62,39,No,9.1,28,23,Stayed
E00095,45,Male,Married,PhD,22.5,Manager,IT,Senior,Contract,Onsite,4.4,139914,14.98,High,4,1,1,41.0,19,Yes,1,5,57.69,24,Yes,0.8,32,38,Stayed
E00096,58,Male,Married,PhD,20.0,Consultant,Operations,Mid,Contract,Hybrid,6.5,52367,1.52,Medium,2,4,5,32.7,1,Yes,3,4,90.72,6,No,19.7,34,2,Stayed
E00097,56,Male,Single,Diploma,8.3,Manager,IT,Executive,Contract,Onsite,6.1,78875,28.46,Medium,4,2,10,65.8,2,Yes,1,4,71.68,79,Yes,18.5,14,35,Stayed
E00098,43,Female,Single,PhD,32.2,Consultant,Finance,Entry,Contract,Remote,3.7,53429,7.39,None,5,3,1,32.7,10,Yes,5,2,13.19,55,No,10.2,16,37,Stayed
E00099,48,Male,Married,PhD,7.1,Manager,Finance,Executive,Contract,Remote,5.4,113193,14.01,Medium,3,4,11,67.1,19,Yes,1,1,80.86,32,No,13.9,11,46,Stayed
E00100,56,Female,Married,High School,27.9,HR,HR,Executive,Contract,Onsite,1.6,119415,0.98,High,4,3,12,49.9,2,No,2,1,27.17,0,Yes,11.4,48,25,Stayed
E00101,22,Male,Married,Bachelor,33.9,Consultant,IT,Executive,Full-time,Remote,5.1,44212,5.78,Low,1,1,9,32.3,8,Yes,4,1,21.41,22,No,14.0,52,14,Left
E00102,56,Female,Married,PhD,25.6,Engineer,IT,Mid,Contract,Hybrid,5.1,20515,20.8,High,2,3,8,35.0,12,Yes,4,5,60.61,93,Yes,1.5,42,3,Left
E00103,58,Male,Single,Diploma,34.8,Manager,Finance,Entry,Contract,Remote,1.3,74150,3.35,Low,3,4,14,51.3,19,Yes,3,1,49.66,6,Yes,20.0,4,11,Stayed
E00104,35,Male,Single,Bachelor,23.0,Manager,IT,Executive,Contract,Remote,5.6,23610,18.84,High,2,1,6,30.6,13,No,5,1,37.16,98,Yes,15.7,14,4,Stayed
E00105,24,Female,Married,Diploma,8.0,HR,Sales,Mid,Contract,Onsite,7.6,29570,0.06,Low,2,4,2,66.6,9,No,5,4,62.98,53,No,5.7,57,56,Left
E00106,22,Female,Single,PhD,7.5,Consultant,Finance,Senior,Contract,Hybrid,5.1,37673,13.95,Low,3,1,14,61.9,16,Yes,3,2,76.89,28,Yes,11.1,44,17,Stayed
E00107,26,Male,Single,Bachelor,11.7,Sales,HR,Entry,Full-time,Onsite,6.8,64749,21.64,None,1,4,12,50.2,11,Yes,4,5,54.4,69,No,9.7,40,3,Left
E00108,47,Female,Married,PhD,0.7,HR,HR,Entry,Contract,Onsite,5.8,47310,27.79,Low,1,1,9,67.0,11,Yes,2,5,80.93,99,Yes,7.4,49,2,Left
E00109,35,Female,Married,High School,24.0,Consultant,HR,Mid,Contract,Onsite,8.1,125402,14.79,None,1,4,7,40.4,19,Yes,4,3,47.67,95,No,9.1,44,37,Left
E00110,48,Male,Married,Bachelor,9.8,Manager,IT,Senior,Contract,Remote,5.6,96460,25.22,High,2,2,0,64.1,8,No,4,1,54.9,8,No,11.6,34,16,Stayed
E00111,30,Female,Single,Diploma,28.6,Manager,Finance,Executive,Full-time,Remote,4.0,125541,24.08,High,1,4,14,62.2,11,No,2,1,59.0,19,Yes,10.5,33,24,Stayed
E00112,36,Male,Single,High School,12.9,Manager,HR,Senior,Contract,Onsite,8.4,105557,8.87,Low,5,4,8,53.3,8,Yes,4,1,38.39,83,No,16.8,19,22,Stayed
E00113,36,Male,Married,Master,17.1,Manager,Finance,Entry,Contract,Remote,1.6,68901,26.24,High,5,2,6,42.8,10,No,1,2,42.71,58,No,2.8,1,51,Stayed
E00114,47,Female,Married,Diploma,33.8,Analyst,IT,Mid,Full-time,Remote,3.6,146118,19.21,Medium,1,3,9,52.3,8,Yes,5,1,56.04,91,No,1.6,25,8,Stayed
E00115,34,Female,Single,PhD,8.9,Manager,Sales,Senior,Contract,Onsite,6.3,110326,3.13,Medium,1,1,1,68.3,12,Yes,4,5,89.5,93,No,10.4,0,40,Stayed
E00116,53,Male,Single,Diploma,25.4,Manager,Sales,Executive,Contract,Hybrid,8.7,92656,28.17,Medium,3,4,7,33.4,12,No,2,4,59.53,46,No,9.6,4,53,Stayed
E00117,53,Male,Married,Master,26.6,Sales,Sales,Senior,Full-time,Hybrid,1.6,41088,5.3,High,3,3,14,38.0,12,Yes,5,4,19.78,57,No,13.1,31,3,Stayed
E00118,25,Male,Single,Diploma,8.1,Sales,IT,Senior,Full-time,Remote,1.9,16286,14.11,Medium,4,5,13,55.8,12,Yes,5,3,75.79,68,Yes,6.2,1,21,Stayed
E00119,51,Male,Married,High School,17.8,Consultant,HR,Mid,Full-time,Hybrid,3.5,66853,13.99,None,2,3,5,57.1,6,No,4,2,56.47,17,No,2.2,25,55,Stayed
E00120,58,Male,Married,Diploma,12.6,Manager,IT,Mid,Contract,Hybrid,4.1,77422,18.76,High,2,5,5,36.6,11,Yes,4,2,45.95,5,No,16.2,9,38,Left
E00121,44,Male,Single,Bachelor,27.1,Manager,Finance,Entry,Contract,Remote,8.6,126446,19.95,Medium,3,1,13,62.3,8,Yes,4,1,72.22,70,No,9.1,44,28,Stayed
E00122,36,Female,Single,Master,22.0,Consultant,Sales,Mid,Contract,Hybrid,9.6,118756,6.99,High,5,5,3,67.1,1,No,3,3,25.01,2,No,3.2,15,58,Stayed
E00123,50,Female,Single,Diploma,16.9,Manager,Finance,Senior,Contract,Remote,1.2,99579,10.57,Medium,4,2,4,33.2,11,Yes,5,4,80.68,51,Yes,19.1,26,49,Left
E00124,57,Female,Married,Master,27.4,Manager,IT,Executive,Contract,Onsite,1.1,32515,4.34,None,3,2,13,69.0,3,No,3,1,74.47,60,No,18.9,12,49,Stayed
E00125,34,Male,Married,High School,8.6,HR,Operations,Entry,Full-time,Hybrid,8.8,82904,3.78,Low,4,3,8,41.2,19,Yes,4,2,26.68,75,No,3.7,58,11,Stayed
E00126,53,Female,Married,Bachelor,26.5,Analyst,Operations,Mid,Contract,Onsite,2.2,136636,24.75,None,2,2,6,42.4,3,Yes,2,1,86.17,32,Yes,16.2,23,45,Stayed
E00127,28,Male,Married,PhD,30.4,Consultant,IT,Senior,Full-time,Onsite,4.1,140635,22.52,Low,2,2,11,31.8,2,No,4,4,27.35,87,Yes,11.0,57,29,Stayed
E00128,43,Male,Married,Diploma,30.8,HR,HR,Senior,Contract,Remote,3.5,89194,13.28,Medium,2,3,0,49.9,16,Yes,4,3,70.97,19,No,6.3,20,17,Left
E00129,49,Female,Married,High School,27.5,Sales,Finance,Entry,Full-time,Hybrid,3.5,96299,2.88,None,5,4,1,68.2,5,Yes,1,5,43.11,89,No,8.2,4,15,Stayed
E00130,23,Male,Single,Master,14.6,Engineer,IT,Entry,Full-time,Hybrid,4.0,19057,13.5,Low,3,1,0,36.4,4,Yes,1,1,78.01,67,No,19.3,57,38,Stayed
E00131,27,Male,Married,Master,34.4,Engineer,IT,Mid,Contract,Hybrid,4.0,29559,8.83,None,4,5,14,53.1,10,No,5,2,15.22,94,Yes,7.0,13,29,Stayed
E00132,49,Male,Married,High School,13.6,Sales,Operations,Mid,Full-time,Hybrid,6.6,24670,23.34,High,3,3,8,41.0,2,No,5,3,32.48,49,No,4.7,17,44,Stayed
E00133,49,Male,Married,Diploma,22.5,Analyst,Sales,Executive,Contract,Remote,6.7,117687,2.9,Low,2,2,12,30.7,11,Yes,5,1,52.34,88,Yes,9.6,50,42,Stayed
E00134,41,Male,Married,PhD,6.1,Engineer,Sales,Entry,Contract,Onsite,5.7,138220,13.54,Medium,2,5,9,69.5,5,Yes,3,2,74.32,29,Yes,12.5,42,20,Stayed
E00135,51,Male,Single,Diploma,34.3,Analyst,HR,Entry,Full-time,Hybrid,8.7,29493,17.74,High,3,4,0,58.6,14,No,5,2,65.39,16,No,6.0,38,21,Stayed
E00136,32,Female,Married,Bachelor,24.8,Engineer,HR,Senior,Full-time,Hybrid,8.6,113963,29.57,Medium,1,1,2,59.4,19,No,1,3,95.86,30,No,15.6,28,47,Stayed
E00137,49,Male,Single,Diploma,26.5,Engineer,HR,Executive,Contract,Remote,3.0,146257,2.69,Medium,1,1,11,56.5,19,No,5,2,60.31,13,No,12.3,59,24,Stayed
E00138,46,Male,Single,Bachelor,2.8,HR,Operations,Mid,Contract,Hybrid,5.9,131764,3.42,High,3,2,5,35.7,2,No,4,2,37.16,32,No,18.6,40,29,Stayed
E00139,54,Male,Married,Master,26.8,Engineer,IT,Executive,Contract,Hybrid,8.1,126488,29.64,Low,2,4,5,38.3,13,Yes,1,4,49.03,77,No,6.8,54,5,Stayed
E00140,22,Male,Married,Bachelor,27.2,Sales,HR,Executive,Contract,Onsite,8.8,80496,12.17,High,4,1,8,45.4,0,Yes,3,5,16.79,46,Yes,13.4,17,56,Stayed
E00141,48,Female,Single,PhD,23.7,Analyst,Operations,Senior,Full-time,Hybrid,3.3,84370,22.31,Medium,1,5,8,69.8,0,No,3,3,20.53,82,No,17.8,8,44,Stayed
E00142,34,Female,Single,High School,10.6,Manager,Finance,Entry,Contract,Hybrid,5.4,23724,23.5,None,3,5,3,56.9,1,Yes,5,4,56.58,55,Yes,0.6,14,56,Stayed
